position,person,personID,start,end,gender,DOB,DOD,image,enwiki
member of the Flemish Parliament,Marius Meremans,Q15127146,2013-01-09,,male,1967-05-20,,,Marius Meremans
member of the Flemish Parliament,Björn Rzoska,Q15127293,2013-01-09,,male,1973-05-12,,Björn Rzoska - 2019.jpg,
member of the Flemish Parliament,Joke Quintens,Q15127175,2013-09-23,,female,1973-06-21,,,
member of the Flemish Parliament,Egbert Lachaert,Q15127115,2013-09-25,,male,1977-07-04,,Egbert lachaert-1614950992.jpg,Egbert Lachaert
member of the Flemish Parliament,Bart Somers,Q15993,2014,2019,male,1964-05-12,,Bart Somers.jpg,Bart Somers
member of the Flemish Parliament,Tom Van Grieken,Q17300271,2014,2019,male,1986-10-07,,Tom-van-grieken-1410248556.jpg,Tom Van Grieken
member of the Flemish Parliament,Andries Gryffroy,Q17350628,2014,,male,1963-03-12,,,Andries Gryffroy
member of the Flemish Parliament,Ingrid Lieten,Q2749584,2014,2016,female,1964-04-20,,Ingrid Lieten.jpg,Ingrid Lieten
member of the Flemish Parliament,Nadia Sminate,Q678436,2014,,female,1981-12-29,,Nadia sminate-1517993058.JPG,Nadia Sminate
member of the Flemish Parliament,John Crombez,Q2234719,2014-05-25,2014-06-17,male,1973-09-19,,John-crombez-1432721230.jpg,John Crombez
member of the Flemish Parliament,Joke Schauvliege,Q2247771,2014-05-25,2014-07-24,female,1970-03-16,,Joke Schauvliege at Werktuigendagen 2009 b.jpg,Joke Schauvliege
member of the Flemish Parliament,Ben Weyts,Q2271035,2014-05-25,2014-07-25,male,1970-11-12,,Informal Meeting of EU Tourism Ministers Handshake (40238420081) (cropped).jpg,Ben Weyts
member of the Flemish Parliament,Geert Bourgeois,Q2355582,2014-05-25,2014-07-24,male,1951-07-06,,Geert Bourgeois (2015).jpg,Geert Bourgeois
member of the Flemish Parliament,Ward Kennes,Q2690582,2014-05-25,2019-05-25,male,1967-03-30,,,
member of the Flemish Parliament,Guy D'haeseleer,Q2738899,2014-05-25,,male,1969-03-12,,Guy dhaeseleer -1618063506.jpeg,Guy D'haeseleer
member of the Flemish Parliament,Francesco Vanderjeugd,Q2765917,2014-05-25,,male,1988-02-03,,Francesco Vanderjeugd.jpg,
member of the Flemish Parliament,Lieve Maes,Q781578,2014-05-25,,female,1960-05-12,,,Lieve Maes
member of the Flemish Parliament,Björn Anseeuw,Q17332663,2014-06-17,2019-06-18,male,1976-09-17,,Björn Anseeuw - 2019.jpg,Björn Anseeuw
member of the Flemish Parliament,John Crombez,Q2234719,2014-09-22,2015-06-18,male,1973-09-19,,John-crombez-1432721230.jpg,John Crombez
member of the Flemish Parliament,Orry Van de Wauwer,Q33251572,2017,,male,1988-03-01,,,
member of the Flemish Parliament,Daniëlle Vanwesenbeeck,Q28530505,2017-01-25,,female,1972-07-03,,VanwesenbeeckDanielle (cropped).jpg,
member of the Flemish Parliament,Annick Lambrecht,Q17836281,2019-05-26,,female,1969-12-09,,Annick Lambrecht.jpg,
member of the Flemish Parliament,Ben Weyts,Q2271035,2019-05-26,2019-10-02,male,1970-11-12,,Informal Meeting of EU Tourism Ministers Handshake (40238420081) (cropped).jpg,Ben Weyts
member of the Flemish Parliament,Els Ampe,Q2723306,2019-05-26,,female,1979-01-18,,Els Ampe.jpg,
member of the Flemish Parliament,Stephanie D'Hose,Q62518481,2019-05-26,,female,1981-06-01,,Stephanie D'Hose 2019.jpg,Stephanie D'Hose
member of the Flemish Parliament,Jos D'Haese,Q64210693,2019-05-26,,male,1992-08-24,,"Jos D'Haese, Back to the Climate 2021 (2).jpg",
member of the Flemish Parliament,Allessia Claes,Q64222344,2019-05-26,,female,1981-11-19,,,Allessia Claes
member of the Flemish Parliament,Freya Perdaens,Q64222346,2019-05-26,,female,1989-01-29,,,Freya Perdaens
member of the Flemish Parliament,Maaike De Vreese,Q64667301,2019-05-26,,female,1984-07-26,,,Maaike De Vreese
member of the Flemish Parliament,Klaas Slootmans,Q64706422,2019-05-26,,male,1983-09-08,,Klaas Slootmans - 2019.jpg,Klaas Slootmans
member of the Flemish Parliament,Adeline Blancquaert,Q64706424,2019-05-26,,female,1996-05-24,,Adeline Blancquaert - 2019.jpg,Adeline Blancquaert
member of the Flemish Parliament,Chris Steenwegen,Q65088441,2019-05-26,,male,1958-01-16,,Chris Steenwegen Studio Vlaams Parlement.png,
member of the Flemish Parliament,Celia Groothedde,Q65267143,2019-05-26,,female,1977-09-26,,Celia Groothedde.png,
member of the Flemish Parliament,Ann De Martelaer,Q21993861,2019-06-18,,female,1959-11-20,,Ann De Martelaer.jpg,
member of the Flemish Parliament,Mieke Schauvliege,Q61742363,2019-06-18,,female,1972-08-01,,Mieke Schauvliege 3.jpg,
member of the Flemish Parliament,Tom Ongena,Q69745447,2019-10-04,,male,1975-09-20,,,
member of the Flemish Parliament,Steven Coenegrachts,Q69745567,2019-10-04,,male,1985-07-14,,,
member of the Flemish Parliament,Rita Moors,Q101444565,2020-09,,female,1967-07-03,,,
member of the Flemish Parliament,Stijn De Roo,Q100741358,2020-10-07,,male,1988-11-06,,Stijn De Roo.jpg,
member of the Chamber of Representatives of Belgium,Jean-Pierre Detremmerie,Q2741951,1981,2003,male,1940-10-10,2016-02-21,Jean-Pierre Detremmerie.jpg,Jean-Pierre Detremmerie
member of the Chamber of Representatives of Belgium,Filip Anthuenis,Q2532599,1995,2007,male,1965-11-28,,,Filip Anthuenis
member of the Chamber of Representatives of Belgium,Herman Van Rompuy,Q12983,1995-05-21,2009-12-01,male,1947-10-31,,Herman Van Rompuy 675.jpg,Herman Van Rompuy
member of the Chamber of Representatives of Belgium,Servais Verherstraeten,Q2032311,1995-06-08,2011-12-07,male,1960-01-29,,Servais-verherstraeten-1381144012.jpg,
member of the Chamber of Representatives of Belgium,Geert Bourgeois,Q2355582,1995-06-08,2004-07-22,male,1951-07-06,,Geert Bourgeois (2015).jpg,Geert Bourgeois
member of the Chamber of Representatives of Belgium,Georges Lenssen,Q3103085,1999,2007,male,1953-04-12,,,
member of the Chamber of Representatives of Belgium,Eric van Weddingen,Q3591429,1999,2003,male,1948-01-18,,,
member of the Chamber of Representatives of Belgium,Joke Schauvliege,Q2247771,1999-06-13,2003-05-17,female,1970-03-16,,Joke Schauvliege at Werktuigendagen 2009 b.jpg,Joke Schauvliege
member of the Chamber of Representatives of Belgium,Francis Van den Eynde,Q2588288,1999-06-13,2003-05-17,male,1946-04-01,2021-03-04,,Francis Van den Eynde
member of the Chamber of Representatives of Belgium,Guy D'haeseleer,Q2738899,1999-06-13,2014-05-24,male,1969-03-12,,Guy dhaeseleer -1618063506.jpeg,Guy D'haeseleer
member of the Chamber of Representatives of Belgium,Maggie De Block,Q2800268,1999-06-13,2011-12-05,female,1962-04-28,,Maggie De Block 2016.jpg,Maggie De Block
member of the Chamber of Representatives of Belgium,Zoé Genot,Q2292686,1999-07,2014-05,female,1974-05-29,,Zoé Genot.jpg,
member of the Chamber of Representatives of Belgium,Jean-Jacques Viseur,Q2471058,1999-07-01,2006,male,1946-12-02,,,
member of the Chamber of Representatives of Belgium,Karel Pinxten,Q555834,1999-07-01,2003-04-10,male,1952-07-19,,Karel Pinxten 2.jpg,
member of the Chamber of Representatives of Belgium,Dalila Douifi,Q726712,1999-07-14,2003-04-10,female,1970-02-17,,,
member of the Chamber of Representatives of Belgium,François Bellot,Q2457970,2000-12-19,,male,1954-02-08,,François Bellot.jpg,François Bellot
member of the Chamber of Representatives of Belgium,Josy Arens,Q2097477,2001,2014,male,1952-05-30,,Josy Arens.jpg,
member of the Chamber of Representatives of Belgium,Alain Mathot,Q1663490,2003,2019,male,1972-08-29,,,
member of the Chamber of Representatives of Belgium,Marie Nagy,Q2674733,2003,2007,female,1957-07-28,,,
member of the Chamber of Representatives of Belgium,Bart Tommelein,Q2701515,2003,2009,male,1962-05-04,,"Collins Nweke and Bart Tommelein, 2012.jpg",Bart Tommelein
member of the Chamber of Representatives of Belgium,Johan Vande Lanotte,Q946183,2003-05,2003-07,male,1955-07-06,,Johan-vande-lanotte-1338926669.jpg,Johan Vande Lanotte
member of the Chamber of Representatives of Belgium,Guido De Padt,Q936465,2003-05-17,2008-12-30,male,1954-05-23,,Guido De Padt2.jpg,Guido De Padt
member of the Chamber of Representatives of Belgium,Frank Vandenbroucke,Q186931,2003-05-18,2003-07-12,male,1955-10-21,,Frank Vandenbroucke 1 mei Leuven.jpg,Frank Vandenbroucke (politician)
member of the Chamber of Representatives of Belgium,Liesbeth Van der Auwera,Q2168996,2003-05-18,2014-04-28,female,1968-11-16,,,
member of the Chamber of Representatives of Belgium,Francis Van den Eynde,Q2588288,2003-05-18,2007-06-09,male,1946-04-01,2021-03-04,,Francis Van den Eynde
member of the Chamber of Representatives of Belgium,Éric Massin,Q3591262,2003-05-18,2007-05-02,male,1963-06-09,,Éric Massin - Charleroi - BPS22 - 2015-09-25 - 1.jpg,
member of the Chamber of Representatives of Belgium,Marie Arena,Q457117,2003-05-18,2003-06-06,female,1966-12-17,,Marie Arena - Citizens’ Corner debate on European Citizens’ Initiatives- Time for ECI review? (30214109881).jpg,Marie Arena
member of the Chamber of Representatives of Belgium,Yvette Mues,Q19587949,2003-06-05,2007-05-02,female,1945-11-01,,,
member of the Chamber of Representatives of Belgium,Jef Van den Bergh,Q1974298,2003-06-05,2007-06-28,male,1973-02-05,,Jef Van den Bergh.jpg,
member of the Chamber of Representatives of Belgium,Hilde Vautmans,Q2780443,2003-06-05,2007-05-02,female,1972-05-02,,Hilde Vautmans (2019 A).jpg,Hilde Vautmans
member of the Chamber of Representatives of Belgium,Jacqueline Galant,Q3157724,2003-06-05,2007-05-02,female,1974-03-18,,,Jacqueline Galant
member of the Chamber of Representatives of Belgium,Karel De Gucht,Q381218,2003-06-05,2007-05-02,male,1954-01-27,,Karel-de-gucht.jpg,Karel De Gucht
member of the Chamber of Representatives of Belgium,Karel Pinxten,Q555834,2003-06-05,2006-03-08,male,1952-07-19,,Karel Pinxten 2.jpg,
member of the Chamber of Representatives of Belgium,Dalila Douifi,Q726712,2003-06-05,2007-06-28,female,1970-02-17,,,
member of the Chamber of Representatives of Belgium,Denis Ducarme,Q3022653,2003-06-08,,male,1973-10-23,,DenisDucarme.JPG,Denis Ducarme
member of the Chamber of Representatives of Belgium,Frank Vandenbroucke,Q186931,2004-07-18,2004-07-22,male,1955-10-21,,Frank Vandenbroucke 1 mei Leuven.jpg,Frank Vandenbroucke (politician)
member of the Chamber of Representatives of Belgium,Johan Vande Lanotte,Q946183,2005,2007,male,1955-07-06,,Johan-vande-lanotte-1338926669.jpg,Johan Vande Lanotte
member of the Chamber of Representatives of Belgium,Magda Raemaekers,Q3276631,2006,2007,female,1947-05-24,,,
member of the Chamber of Representatives of Belgium,Els De Rammelaere,Q2448683,2007,2010,female,1969-04-12,,Els de rammelaere-1451832456.jpg,
member of the Chamber of Representatives of Belgium,Ulla Werbrouck,Q466273,2007,2009-07-02,female,1972-01-24,,LDD - Ulla Werbrouck.jpg,Ulla Werbrouck
member of the Chamber of Representatives of Belgium,Ilse Uyttersprot,Q2249806,2007-06-10,2010-05-12,female,1967-05-10,2020-08-04,,Ilse Uyttersprot
member of the Chamber of Representatives of Belgium,Wouter De Vriendt,Q2562437,2007-06-10,,male,1977-06-22,,Wouter 7 klein.jpg,Wouter De Vriendt
member of the Chamber of Representatives of Belgium,Wouter De Vriendt,Q2562437,2007-06-10,2010-05-07,male,1977-06-22,,Wouter 7 klein.jpg,Wouter De Vriendt
member of the Chamber of Representatives of Belgium,Wouter De Vriendt,Q2562437,2007-06-10,2014-05-25,male,1977-06-22,,Wouter 7 klein.jpg,Wouter De Vriendt
member of the Chamber of Representatives of Belgium,Wouter De Vriendt,Q2562437,2007-06-10,2019-06-20,male,1977-06-22,,Wouter 7 klein.jpg,Wouter De Vriendt
member of the Chamber of Representatives of Belgium,Francis Van den Eynde,Q2588288,2007-06-10,2010-06-12,male,1946-04-01,2021-03-04,,Francis Van den Eynde
member of the Chamber of Representatives of Belgium,Thérèse Snoy,Q3527372,2007-06-10,2014-05-25,female,1952-01-27,,,
member of the Chamber of Representatives of Belgium,Marie Arena,Q457117,2007-06-10,2007-06-29,female,1966-12-17,,Marie Arena - Citizens’ Corner debate on European Citizens’ Initiatives- Time for ECI review? (30214109881).jpg,Marie Arena
member of the Chamber of Representatives of Belgium,Meyrem Almaci,Q1820692,2007-06-28,2019-04-25,female,1976-02-25,,Meyrem-almaci-1349265092.jpg,Meyrem Almaci
member of the Chamber of Representatives of Belgium,Jan Jambon,Q1865725,2007-06-28,2014-10-11,male,1960-04-26,,Jan Jambon.jpg,Jan Jambon
member of the Chamber of Representatives of Belgium,Jef Van den Bergh,Q1974298,2007-06-28,2010-05-07,male,1973-02-05,,Jef Van den Bergh.jpg,
member of the Chamber of Representatives of Belgium,Hilde Vautmans,Q2780443,2007-06-28,2010-05-07,female,1972-05-02,,Hilde Vautmans (2019 A).jpg,Hilde Vautmans
member of the Chamber of Representatives of Belgium,Éric Thiébaut,Q2888701,2007-06-28,2010-05-07,male,1969-06-30,,,
member of the Chamber of Representatives of Belgium,Georges Dallemagne,Q3102539,2007-06-28,2010-05-07,male,1958-01-17,,Georges Dallemagne 20171109.jpg,Georges Dallemagne
member of the Chamber of Representatives of Belgium,Jacqueline Galant,Q3157724,2007-06-28,2010-05-07,female,1974-03-18,,,Jacqueline Galant
member of the Chamber of Representatives of Belgium,Karel De Gucht,Q381218,2007-06-28,2010-05-07,male,1954-01-27,,Karel-de-gucht.jpg,Karel De Gucht
member of the Chamber of Representatives of Belgium,Sonja Becq,Q607864,2007-06-28,2014-06-19,female,1957-12-08,,Sonja Becq.jpg,Sonja Becq
member of the Chamber of Representatives of Belgium,Dalila Douifi,Q726712,2007-06-28,2010-05-07,female,1970-02-17,,,
member of the Chamber of Representatives of Belgium,Stefaan Van Hecke,Q2025218,2007-07-28,,male,1973-01-04,,Stefaan Van Hecke.jpg,Stefaan Van Hecke
member of the Chamber of Representatives of Belgium,Stefaan Van Hecke,Q2025218,2007-07-28,2010-05-07,male,1973-01-04,,Stefaan Van Hecke.jpg,Stefaan Van Hecke
member of the Chamber of Representatives of Belgium,Stefaan Van Hecke,Q2025218,2007-07-28,2014-05-25,male,1973-01-04,,Stefaan Van Hecke.jpg,Stefaan Van Hecke
member of the Chamber of Representatives of Belgium,Stefaan Van Hecke,Q2025218,2007-07-28,2019-06-20,male,1973-01-04,,Stefaan Van Hecke.jpg,Stefaan Van Hecke
member of the Chamber of Representatives of Belgium,Peter Luykx,Q3376731,2007-12-21,2008-12-30,male,1964-05-06,,Peter Luykx 20171109.jpg,Peter Luykx
member of the Chamber of Representatives of Belgium,Ben Weyts,Q2271035,2008,2014,male,1970-11-12,,Informal Meeting of EU Tourism Ministers Handshake (40238420081) (cropped).jpg,Ben Weyts
member of the Chamber of Representatives of Belgium,Magda Raemaekers,Q3276631,2009,2010,female,1947-05-24,,,
member of the Chamber of Representatives of Belgium,Marie Arena,Q457117,2009,2010,female,1966-12-17,,Marie Arena - Citizens’ Corner debate on European Citizens’ Initiatives- Time for ECI review? (30214109881).jpg,Marie Arena
member of the Chamber of Representatives of Belgium,Peter Luykx,Q3376731,2009-07-02,,male,1964-05-06,,Peter Luykx 20171109.jpg,Peter Luykx
member of the Chamber of Representatives of Belgium,Karolien Grosemans,Q2359077,2010,2019,female,1970-03-09,,Karolien Grosemans.jpg,Karolien Grosemans
member of the Chamber of Representatives of Belgium,Damien Thiéry,Q2788852,2010,2019,male,1963-05-21,,,
member of the Chamber of Representatives of Belgium,Anthony Dufrane,Q2852849,2010,2012,male,1977-07-10,,Anthony Dufrane - Charleroi - BPS22 - 2015-09-25 - 1.jpg,
member of the Chamber of Representatives of Belgium,Nadia Sminate,Q678436,2010,2014,female,1981-12-29,,Nadia sminate-1517993058.JPG,Nadia Sminate
member of the Chamber of Representatives of Belgium,Kristien Van Vaerenbergh,Q1960865,2010-06-13,2014-05-25,female,1978-04-22,,Kristien van vaerenbergh 250x443.jpg,Kristien Van Vaerenbergh
member of the Chamber of Representatives of Belgium,Jef Van den Bergh,Q1974298,2010-06-13,2014-05-25,male,1973-02-05,,Jef Van den Bergh.jpg,
member of the Chamber of Representatives of Belgium,Laurent Louis,Q961563,2010-06-13,2014-05-25,male,1980-02-29,,Laurent LOUIS Debout les Belges.jpg,Laurent Louis
member of the Chamber of Representatives of Belgium,Geert Bourgeois,Q2355582,2010-07-05,2010-07-07,male,1951-07-06,,Geert Bourgeois (2015).jpg,Geert Bourgeois
member of the Chamber of Representatives of Belgium,Bert Wollants,Q2417142,2010-07-06,,male,1979-08-30,,,Bert Wollants
member of the Chamber of Representatives of Belgium,Bert Wollants,Q2417142,2010-07-06,2014-05-25,male,1979-08-30,,,Bert Wollants
member of the Chamber of Representatives of Belgium,Bert Wollants,Q2417142,2010-07-06,2019-06-20,male,1979-08-30,,,Bert Wollants
member of the Chamber of Representatives of Belgium,Éric Thiébaut,Q2888701,2010-07-06,2014-04-28,male,1969-06-30,,,
member of the Chamber of Representatives of Belgium,Georges Dallemagne,Q3102539,2010-07-06,2014-04-28,male,1958-01-17,,Georges Dallemagne 20171109.jpg,Georges Dallemagne
member of the Chamber of Representatives of Belgium,Jacqueline Galant,Q3157724,2010-07-06,2014-04-28,female,1974-03-18,,,Jacqueline Galant
member of the Chamber of Representatives of Belgium,Reinilde Van Moer,Q3423922,2010-07-06,2014-05-25,female,1956-11-21,,,Reinilde Van Moer
member of the Chamber of Representatives of Belgium,Isabelle Emmery,Q3154918,2011,2014,female,1966-07-03,,,
member of the Chamber of Representatives of Belgium,Frank Wilrycx,Q2788977,2011-12-07,2014-05-25,male,1965-04-25,,Frank Wilrycx.jpg,
member of the Chamber of Representatives of Belgium,Lieve Wierinck,Q3238348,2011-12-22,2014-04-28,female,1957-07-03,,,Lieve Wierinck
member of the Chamber of Representatives of Belgium,Christophe Lacroix,Q2966321,2012-10-25,2014-04-28,male,1966-12-22,,Prestation de serment tribune.jpg,
member of the Chamber of Representatives of Belgium,Gerda Mylle,Q1822732,2013-10-08,2014-05-25,female,1953-09-05,2020-06-16,,
member of the Chamber of Representatives of Belgium,Rita Gantois,Q17428224,2014,2019,female,1958-06-14,,,
member of the Chamber of Representatives of Belgium,Zakia Khattabi,Q3574660,2014,2015,female,1976-01-15,,Zakia Khattabi et Patrick Dupriez - débat élection coprésidence Écolo - Charleroi mars 2015 - 1.jpg,Zakia Khattabi
member of the Chamber of Representatives of Belgium,Johan Vande Lanotte,Q946183,2014,2017,male,1955-07-06,,Johan-vande-lanotte-1338926669.jpg,Johan Vande Lanotte
member of the Chamber of Representatives of Belgium,Jan Van Esbroeck,Q968689,2014,,male,1968-09-30,,,Jan Van Esbroeck
member of the Chamber of Representatives of Belgium,Éric Massin,Q3591262,2014-05-25,2018-05-24,male,1963-06-09,,Éric Massin - Charleroi - BPS22 - 2015-09-25 - 1.jpg,
member of the Chamber of Representatives of Belgium,Emir Kir,Q1151266,2014-06-19,2019-06-20,male,1968-10-17,,Emir kir.jpg,
member of the Chamber of Representatives of Belgium,Koen Geens,Q1240812,2014-06-19,2014-10-11,male,1958-01-22,,Minister Geens.jpg,Koen Geens
member of the Chamber of Representatives of Belgium,Filip Dewinter,Q1344265,2014-06-19,2019-06-20,male,1962-09-11,,FilipDewinter2015.jpg,Filip Dewinter
member of the Chamber of Representatives of Belgium,Peter De Roover,Q14084072,2014-06-19,2019-06-20,male,1962-05-20,,,Peter De Roover
member of the Chamber of Representatives of Belgium,Francis Delpérée,Q1441464,2014-06-19,2019-06-20,male,1942-01-14,,,Francis Delpérée
member of the Chamber of Representatives of Belgium,Frédéric Daerden,Q1471482,2014-06-19,2019-09-19,male,1970-01-11,,"Daerden, Frédéric-0071.jpg",Frédéric Daerden
member of the Chamber of Representatives of Belgium,Tim Vandenput,Q14856202,2014-06-19,2019-06-20,male,1971-11-06,,Tim-Vandenput.jpg,
member of the Chamber of Representatives of Belgium,Elio Di Rupo,Q15048,2014-06-19,2019-06-20,male,1951-07-18,,Elio Di Rupo PES-Kongress 2014.jpg,Elio Di Rupo
member of the Chamber of Representatives of Belgium,Egbert Lachaert,Q15127115,2014-06-19,2019-06-20,male,1977-07-04,,Egbert lachaert-1614950992.jpg,Egbert Lachaert
member of the Chamber of Representatives of Belgium,Patrick Dewael,Q15992,2014-06-19,2019-06-20,male,1955-10-13,,,Patrick Dewael
member of the Chamber of Representatives of Belgium,Marco Van Hees,Q16662935,2014-06-19,2019-06-20,male,1964-03-15,,Marco Van Hees PTB.jpg,
member of the Chamber of Representatives of Belgium,Raoul Hedebouw,Q16672153,2014-06-19,2019-06-20,male,1977-07-12,,Raoul Hedebouw Bxl Climate.jpg,Raoul Hedebouw
member of the Chamber of Representatives of Belgium,Jan Spooren,Q17038223,2014-06-19,2019-06-20,male,1969-01-12,,,Jan Spooren
member of the Chamber of Representatives of Belgium,Brecht Vermeulen,Q17048132,2014-06-19,2019-06-20,male,1969-06-17,,Brecht Vermeulen - September 2016 (cropped).jpg,
member of the Chamber of Representatives of Belgium,Valerie Van Peel,Q17149643,2014-06-19,2019-06-20,female,1979-10-11,,,Valerie Van Peel
member of the Chamber of Representatives of Belgium,Koen Metsu,Q17149749,2014-06-19,2019-06-20,male,1981-07-23,,,Koen Metsu
member of the Chamber of Representatives of Belgium,Yoleen Van Camp,Q17191473,2014-06-19,2019-06-20,female,1987-08-25,,YoleenVC by MVC 14-03-2014.JPG,Yoleen Van Camp
member of the Chamber of Representatives of Belgium,Nawal Ben Hamou,Q17350463,2014-06-19,2019-06-20,female,1987-06-11,,Nawal Ben Hamou.jpg,
member of the Chamber of Representatives of Belgium,Gwenaëlle Grovonius,Q17350626,2014-06-19,2019-06-20,female,1978-10-16,,"Gwenaëlle Grovonius, 2014.jpg",
member of the Chamber of Representatives of Belgium,Benoît Piedboeuf,Q17350847,2014-06-19,2019-06-20,male,1959-04-06,,Benoît Piedboeuf .jpg,
member of the Chamber of Representatives of Belgium,Rita Bellens,Q17428035,2014-06-19,2019-06-20,female,1962-09-29,,Rita Bellens - September 2016 (cropped).jpg,Rita Bellens
member of the Chamber of Representatives of Belgium,Emmanuel Burton,Q17428062,2014-06-19,,male,1973-01-14,,,
member of the Chamber of Representatives of Belgium,Emmanuel Burton,Q17428062,2014-06-19,2019-06-20,male,1973-01-14,,,
member of the Chamber of Representatives of Belgium,Peter Buysrogge,Q17428066,2014-06-19,,male,1976-03-15,,,Peter Buysrogge
